,MonthsActive,AvgOrderValue,NumOrdersLastQuarter,DaysSinceLastOrder,SupportTicketsFiled,Churned
0,7,34.12,7,8,2,0
1,45,23.38,3,57,1,0
2,24,94.56,7,37,1,0
3,39,46.34,7,0,0,0
4,3,39.04,3,41,2,0
5,38,48.05,7,14,0,0
6,22,51.2,8,7,0,1
7,49,45.07,4,39,1,0
8,45,48.48,4,60,0,0
9,44,54.75,9,6,1,0
10,52,48.73,4,12,0,0
11,51,89.45,7,27,0,0
12,59,51.81,7,1,1,0
13,9,53.22,5,3,0,0
14,10,30.61,8,8,1,0
15,13,143.58,3,17,1,0
16,51,47.96,4,23,0,0
17,53,69.54,3,1,0,0
18,34,37.37,3,23,1,0
19,34,32.5,8,5,0,1
20,60,29.57,1,11,0,0
21,60,42.43,4,21,0,0
22,34,67.44,11,5,0,0
23,23,67.94,1,6,1,0
24,15,76.43,11,10,0,0
25,22,64.27,11,15,0,0
26,57,53.23,8,2,0,0
27,32,65.65,5,14,2,0
28,53,63.48,4,6,0,0
29,34,22.47,3,4,0,0
30,50,53.57,3,3,0,0
31,34,83.43,7,20,0,0
32,52,70.51,5,29,0,0
33,53,28.07,2,27,1,0
34,53,51.97,6,19,1,0
35,16,93.93,9,37,1,1
36,23,56.28,3,7,0,0
37,26,49.35,9,8,0,0
38,36,59.52,5,21,1,0
39,12,46.8,2,1,0,0
40,13,54.19,4,3,1,0
41,47,51.09,6,14,0,0
42,11,42.86,8,8,1,0
43,11,37.98,5,15,0,0
44,50,44.73,2,34,1,0
45,6,76.95,6,59,2,1
46,28,42.09,5,10,0,0
47,27,145.13,4,12,0,0
48,50,65.25,6,1,0,0
49,28,66.59,4,4,1,0
50,56,45.49,4,22,1,0
51,25,115.61,8,2,0,0
52,4,46.86,2,17,0,0
53,23,69.37,4,20,0,0
54,2,42.5,7,5,1,0
55,8,52.51,13,19,0,0
56,52,45.62,4,14,0,0
57,3,56.96,7,9,0,0
58,6,36.49,3,8,1,0
59,47,55.18,2,2,0,0
60,49,104.75,8,12,0,0
61,52,66.16,3,49,0,0
62,8,52.62,4,7,0,0
63,14,66.96,9,16,0,0
64,31,69.68,6,5,0,0
65,13,54.99,5,11,0,0
66,15,52.43,3,15,1,0
67,42,75.33,3,5,0,0
68,52,68.48,4,26,0,0
69,20,105.94,3,51,0,0
70,43,35.73,4,13,1,1
71,22,45.25,6,4,1,0
72,19,35.77,3,34,1,0
73,11,62.52,7,39,1,0
74,5,30.34,6,0,0,0
75,40,47.91,5,5,1,0
76,2,101.1,5,6,0,0
77,60,88.83,6,1,0,0
78,27,38.84,4,3,0,0
79,4,87.22,4,27,1,0
80,32,57.87,3,15,0,0
81,45,71.14,5,70,2,1
82,54,78.1,3,2,1,0
83,2,50.78,8,12,1,0
84,12,37.75,4,8,1,0
85,33,35.12,5,38,1,0
86,25,106.73,4,5,0,0
87,8,51.98,6,9,0,0
88,21,67.83,2,14,0,0
89,44,46.48,7,2,0,0
90,41,49.69,7,6,1,0
91,55,42.36,5,51,0,0
92,20,37.4,4,2,0,0
93,38,50.95,2,23,1,0
94,27,31.45,8,38,0,0
95,52,52.48,4,12,0,0
96,10,47.12,2,55,0,0
97,40,39.17,4,11,1,0
98,12,26.28,7,18,1,0
99,16,38.84,1,8,0,0
100,31,91.37,4,63,0,0
101,53,98.33,5,24,0,0
102,55,35.16,9,60,0,0
103,25,78.97,4,15,1,0
104,31,66.95,6,20,0,0
105,17,78.56,3,50,0,0
106,44,52.0,2,10,0,0
107,33,37.93,2,12,0,0
108,60,54.6,3,3,0,0
109,49,44.88,4,30,0,0
110,46,178.92,10,61,0,0
111,60,41.68,4,40,1,0
112,10,93.26,6,21,0,0
113,19,73.36,2,7,0,0
114,9,68.9,8,22,0,0
115,32,104.44,6,14,1,0
116,33,61.43,6,32,0,0
117,60,38.41,4,4,0,0
118,2,54.59,5,7,0,0
119,31,61.54,6,4,0,0
120,20,75.02,4,17,0,0
121,2,72.04,8,53,0,0
122,55,34.55,8,2,1,0
123,41,61.18,4,20,1,1
124,31,47.72,4,19,2,0
125,45,112.58,3,10,0,0
126,20,82.32,5,9,1,0
127,51,71.98,10,46,0,0
128,35,33.68,4,5,1,0
129,52,66.47,7,11,1,0
130,49,54.25,2,12,0,1
131,33,85.5,7,20,0,0
132,12,38.49,1,4,0,0
133,46,50.49,4,1,0,0
134,8,29.01,3,21,0,0
135,15,52.58,5,23,0,0
136,28,70.35,5,42,0,0
137,1,73.88,3,7,0,0
138,20,58.05,3,18,1,0
139,9,86.56,5,5,0,0
140,2,59.01,4,50,1,0
141,55,33.61,10,3,1,0
142,5,50.47,1,22,1,0
143,51,52.48,2,8,0,0
144,17,44.27,9,38,0,0
145,6,22.11,5,55,0,0
146,49,48.14,4,27,2,0
147,29,28.41,4,41,0,0
148,8,75.52,5,5,1,0
149,51,67.52,7,23,0,0
150,36,54.46,2,26,0,0
151,3,35.99,2,0,0,0
152,50,40.1,5,27,2,0
153,51,59.61,6,0,2,0
154,25,42.07,3,9,4,0
155,46,31.11,6,44,0,0
156,37,23.32,3,30,0,0
157,27,48.81,4,17,0,0
158,37,31.69,4,29,0,0
159,42,68.51,4,11,0,0
160,29,37.59,3,7,0,0
161,46,84.67,7,6,0,0
162,43,147.31,3,16,0,0
163,39,36.26,4,41,0,0
164,16,27.16,8,1,1,1
165,12,31.41,6,9,0,0
166,8,58.38,1,8,0,0
167,32,27.92,7,17,2,0
168,55,51.83,4,8,2,0
169,5,31.81,4,33,0,0
170,37,49.47,1,3,1,1
171,39,48.12,8,41,1,0
172,14,65.95,6,3,1,0
173,44,57.65,4,11,1,0
174,21,41.64,3,6,0,0
175,21,29.32,10,19,0,0
176,14,97.19,4,36,0,0
177,17,43.99,4,20,0,1
178,4,28.79,6,1,0,0
179,36,117.94,6,35,0,0
180,5,96.02,5,2,0,0
181,50,106.99,4,19,1,0
182,35,63.47,5,23,0,0
183,35,73.52,6,70,0,0
184,12,70.59,6,25,1,0
185,11,79.89,5,1,0,0
186,16,35.16,8,37,0,0
187,23,95.62,7,0,0,0
188,20,70.46,6,26,0,0
189,9,51.79,5,51,1,0
190,44,27.81,8,4,1,0
191,4,53.42,7,11,0,0
192,57,82.27,3,27,1,0
193,7,99.92,5,52,3,0
194,7,41.47,4,5,1,0
195,54,33.24,11,48,0,0
196,22,41.29,4,102,1,1
197,31,65.57,7,22,0,0
198,13,61.12,7,5,0,0
199,19,63.45,6,13,0,0
200,17,60.92,4,3,0,0
201,19,52.49,2,61,1,0
202,7,59.15,6,17,0,0
203,7,56.91,6,8,0,0
204,10,67.18,5,18,0,0
205,30,46.09,5,1,1,0
206,57,38.15,6,12,0,0
207,55,34.87,5,40,0,0
208,30,34.7,4,11,0,0
209,26,68.45,3,23,1,0
210,36,69.18,3,45,0,0
211,30,62.4,6,24,1,0
212,51,90.84,5,5,1,0
213,2,94.54,2,40,0,0
214,28,114.56,4,3,0,0
215,6,106.84,4,39,0,1
216,50,46.71,9,13,1,0
217,4,49.6,4,18,0,0
218,19,36.85,9,10,0,0
219,30,32.4,6,33,1,0
220,54,34.62,8,39,0,0
221,27,82.34,5,96,0,0
222,37,55.61,7,34,0,0
223,1,53.77,7,1,0,0
224,17,41.81,4,11,2,0
225,55,75.87,2,57,0,0
226,15,21.64,5,57,1,1
227,38,41.64,3,3,0,0
228,33,59.47,7,13,0,0
229,21,65.0,6,5,0,0
230,3,43.4,6,20,0,0
231,27,47.34,4,5,0,0
232,34,36.79,3,1,0,0
233,60,67.13,3,5,0,0
234,44,60.64,5,41,2,0
235,29,48.57,8,1,1,0
236,22,50.91,5,1,0,0
237,48,62.94,3,44,0,0
238,57,39.2,4,9,0,0
239,25,63.09,5,1,0,0
240,25,84.05,8,20,0,0
241,32,52.82,4,14,2,0
242,22,70.37,6,12,0,0
